Region,Country Code,Country,Year,Indicator Code,Indicator Name,Indicator Short Name,Category,Value Type,Sum of Value,Sum of Previous Year Value,Sum of Growth Rate %,Sum of Country Share %
East Asia,CHN,China,2000,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,0.347811226864586,,,0.43%
East Asia,CHN,China,2000,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,20.681599363293,,,5.52%
East Asia,CHN,China,2000,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,14.5272519499825,,,7.74%
East Asia,CHN,China,2000,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,1223754919971.05,,,37.17%
East Asia,CHN,China,2000,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,969.199513696287,,,1.45%
East Asia,CHN,China,2000,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,3.26,,,5.48%
East Asia,CHN,China,2000,SP.POP.TOTL,Total Population,Population,Population,People,1262645000,,,41.74%
East Asia,CHN,China,2001,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,0.719125609120113,0.347811226864586,106.76%,0.74%
East Asia,CHN,China,2001,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,20.0776873829946,20.681599363293,-2.92%,4.86%
East Asia,CHN,China,2001,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,13.8221069560341,14.5272519499825,-4.85%,7.67%
East Asia,CHN,China,2001,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,1355036590251.52,1223754919971.05,10.73%,40.77%
East Asia,CHN,China,2001,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,1065.40597574519,969.199513696287,9.93%,1.72%
East Asia,CHN,China,2001,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,3.8,3.26,16.56%,6.05%
East Asia,CHN,China,2001,SP.POP.TOTL,Total Population,Population,Population,People,1271850000,1262645000,0.73%,41.46%
East Asia,CHN,China,2002,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,-0.731970902350243,0.719125609120113,-201.79%,-0.87%
East Asia,CHN,China,2002,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,22.3518233715808,20.0776873829946,11.33%,5.61%
East Asia,CHN,China,2002,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,13.1294938258189,13.8221069560341,-5.01%,7.63%
East Asia,CHN,China,2002,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,1489821682050.54,1355036590251.52,9.95%,40.63%
East Asia,CHN,China,2002,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,1163.55957673426,1065.40597574519,9.21%,1.81%
East Asia,CHN,China,2002,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,4.24,3.8,11.58%,6.30%
East Asia,CHN,China,2002,SP.POP.TOTL,Total Population,Population,Population,People,1280400000,1271850000,0.67%,41.20%
East Asia,CHN,China,2003,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,1.12760348729637,-0.731970902350243,-254.05%,1.91%
