Country Code,Country,Region,Indicator Code,Indicator Name,Indicator Short Name,Category,Value Type,Year,Actual Value,Predicted Value,Forecast Type,Model,MAE,RMSE,R2 Score
ARE,United Arab Emirates,Middle East,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,2008,12.2504202448139,3.674982774360501,Historical Prediction,Linear Regression,2.173754016527002,2.9307650689155884,0.10135444430575913
ARE,United Arab Emirates,Middle East,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,2009,1.5618131744907,3.4740723047307256,Historical Prediction,Linear Regression,2.173754016527002,2.9307650689155884,0.10135444430575913
ARE,United Arab Emirates,Middle East,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,2010,0.877983288285867,3.27316183510095,Historical Prediction,Linear Regression,2.173754016527002,2.9307650689155884,0.10135444430575913
ARE,United Arab Emirates,Middle East,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,2011,0.87734659568512,3.072251365471118,Historical Prediction,Linear Regression,2.173754016527002,2.9307650689155884,0.10135444430575913
ARE,United Arab Emirates,Middle East,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,2012,0.662268900269008,2.8713408958413424,Historical Prediction,Linear Regression,2.173754016527002,2.9307650689155884,0.10135444430575913
ARE,United Arab Emirates,Middle East,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,2013,1.1011183637571,2.670430426211567,Historical Prediction,Linear Regression,2.173754016527002,2.9307650689155884,0.10135444430575913
ARE,United Arab Emirates,Middle East,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,2014,2.34626865671642,2.4695199565817916,Historical Prediction,Linear Regression,2.173754016527002,2.9307650689155884,0.10135444430575913
ARE,United Arab Emirates,Middle East,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,2015,4.06996608361593,2.2686094869519593,Historical Prediction,Linear Regression,2.173754016527002,2.9307650689155884,0.10135444430575913
ARE,United Arab Emirates,Middle East,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,2016,1.61748808904197,2.067699017322184,Historical Prediction,Linear Regression,2.173754016527002,2.9307650689155884,0.10135444430575913
ARE,United Arab Emirates,Middle East,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,2017,1.96682557818842,1.8667885476924084,Historical Prediction,Linear Regression,2.173754016527002,2.9307650689155884,0.10135444430575913
ARE,United Arab Emirates,Middle East,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,2018,3.06863379251996,1.6658780780625762,Historical Prediction,Linear Regression,2.173754016527002,2.9307650689155884,0.10135444430575913
ARE,United Arab Emirates,Middle East,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,2019,-1.93108114782172,1.4649676084328007,Historical Prediction,Linear Regression,2.173754016527002,2.9307650689155884,0.10135444430575913
ARE,United Arab Emirates,Middle East,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,2020,-2.07940317940943,1.2640571388030253,Historical Prediction,Linear Regression,2.173754016527002,2.9307650689155884,0.10135444430575913
ARE,United Arab Emirates,Middle East,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,2021,0.179935336174431,1.063146669173193,Historical Prediction,Linear Regression,2.173754016527002,2.9307650689155884,0.10135444430575913
ARE,United Arab Emirates,Middle East,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,2022,5.29122604376849,0.8622361995434176,Historical Prediction,Linear Regression,2.173754016527002,2.9307650689155884,0.10135444430575913
ARE,United Arab Emirates,Middle East,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,2023,1.62670837213248,0.6613257299136421,Historical Prediction,Linear Regression,2.173754016527002,2.9307650689155884,0.10135444430575913
ARE,United Arab Emirates,Middle East,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,2024,1.66336510224894,0.46041526028380986,Historical Prediction,Linear Regression,2.173754016527002,2.9307650689155884,0.10135444430575913
