Country Code,Country,Region,Indicator Code,Indicator Name,Indicator Short Name,Category,Value Type,Model,MAE,RMSE,R2 Score
ARE,United Arab Emirates,Middle East,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,Linear Regression,2.173754016527002,2.9307650689155884,0.10135444430575913
ARE,United Arab Emirates,Middle East,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,Linear Regression,4.547875934696256,5.6351543011570735,0.8873960016480944
ARE,United Arab Emirates,Middle East,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,Linear Regression,0.3054408014770603,0.3459069882046073,0.5802979246578825
ARE,United Arab Emirates,Middle East,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,Linear Regression,32050595331.888897,42102931489.25593,0.9025413351778274
ARE,United Arab Emirates,Middle East,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,Linear Regression,5037.202329962896,6062.1309044231775,0.43093752910158833
ARE,United Arab Emirates,Middle East,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,Linear Regression,0.40047433846153807,0.530171859044854,0.01590796162726582
ARE,United Arab Emirates,Middle East,SP.POP.TOTL,Total Population,Population,Population,People,Linear Regression,237728.37236923218,274915.97541795945,0.9856020824686388
BGD,Bangladesh,South Asia,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,Linear Regression,1.7366047333724492,2.056195938883021,0.1590050312155148
BGD,Bangladesh,South Asia,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,Linear Regression,2.622833256827113,3.0153315297038077,0.028551581973768725
BGD,Bangladesh,South Asia,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,Linear Regression,0.40981841875226016,0.49890335114154605,0.9790732517501392
BGD,Bangladesh,South Asia,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,Linear Regression,37873828023.01737,44143345290.34377,0.9035538430269451
BGD,Bangladesh,South Asia,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,Linear Regression,211.78209121560008,247.53829347870433,0.9071612356958543
BGD,Bangladesh,South Asia,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,Linear Regression,0.39380763076923025,0.5359752278718748,0.12720038384909815
BGD,Bangladesh,South Asia,SP.POP.TOTL,Total Population,Population,Population,People,Linear Regression,532952.8648615646,668413.8171517529,0.9963164780643771
CHN,China,East Asia,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,Linear Regression,1.2675618995280826,1.6773640797382656,0.001772094447928585
CHN,China,East Asia,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,Linear Regression,3.279775145849892,4.393850990620184,0.3322251657315356
CHN,China,East Asia,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,Linear Regression,0.6206674835111166,0.7018784191123203,0.9076535070873933
CHN,China,East Asia,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,Linear Regression,709744389629.47,924163534709.0746,0.9764285676284148
CHN,China,East Asia,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,Linear Regression,476.17392828898323,615.4702088402104,0.9787070716723947
CHN,China,East Asia,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,Linear Regression,0.20028923076923236,0.26556206865381277,0.3716605411911361
CHN,China,East Asia,SP.POP.TOTL,Total Population,Population,Population,People,Linear Regression,5398708.923076782,7790326.445811254,0.9751192089335211
IDN,Indonesia,Southeast Asia,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,Linear Regression,1.8154973703581678,2.2640805023186146,0.4933416922728491
IDN,Indonesia,Southeast Asia,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,Linear Regression,2.476576845544453,3.0089305634485406,0.7611844171645334
IDN,Indonesia,Southeast Asia,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,Linear Regression,0.5046859360722666,0.6713339967493781,0.6177081415622742
IDN,Indonesia,Southeast Asia,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,Linear Regression,57514289933.70659,75272225784.01376,0.9638491559847623
IDN,Indonesia,Southeast Asia,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,Linear Regression,237.93083190762766,328.18235654406925,0.9419584971306298
IDN,Indonesia,Southeast Asia,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,Linear Regression,0.6049680615384654,0.7838114777851231,0.7366103999683575
IDN,Indonesia,Southeast Asia,SP.POP.TOTL,Total Population,Population,Population,People,Linear Regression,954811.8911998367,1138627.5574147194,0.9970026915485146
IND,India,South Asia,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,Linear Regression,1.9991163418529754,2.4366912810954657,0.0019930160226379057
IND,India,South Asia,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,Linear Regression,2.5921379119742136,2.977235901313097,0.24545810267890744
